ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value
TSLA,Tesla Inc,2019-03-23,264.53,8721950,272.58,272.8,264.0
TSLA,Tesla Inc,2019-03-24,264.53,8721950,272.58,272.8,264.0
TSLA,Tesla Inc,2019-03-25,260.42,10205080,259.71,263.18,254.46
TSLA,Tesla Inc,2019-03-26,267.77,7341868,264.44,270.26,264.43
TSLA,Tesla Inc,2019-03-27,274.83,8752384,268.75,275.37,268.1838
TSLA,Tesla Inc,2019-03-28,278.62,6764921,277.16,280.33,275.1
TSLA,Tesla Inc,2019-03-29,279.86,5980355,278.7,280.16,274.5
TSLA,Tesla Inc,2019-03-30,279.86,5980355,278.7,280.16,274.5
TSLA,Tesla Inc,2019-03-31,279.86,5980355,278.7,280.16,274.5
TSLA,Tesla Inc,2019-04-01,289.18,8093134,282.62,289.2,281.281
TSLA,Tesla Inc,2019-04-02,285.88,5427184,288.3,289.44,283.88
TSLA,Tesla Inc,2019-04-03,291.81,7916650,287.32,296.17,287.17
TSLA,Tesla Inc,2019-04-04,267.78,23680170,261.89,271.2,260.59
TSLA,Tesla Inc,2019-04-05,274.96,13022740,269.86,276.1,266.11
TSLA,Tesla Inc,2019-04-06,274.96,13022740,269.86,276.1,266.11
TSLA,Tesla Inc,2019-04-07,274.96,13022740,269.86,276.1,266.11
TSLA,Tesla Inc,2019-04-08,273.2,10364600,277.69,281.16,270.44
TSLA,Tesla Inc,2019-04-09,272.31,5893247,271.65,275.0,269.61
TSLA,Tesla Inc,2019-04-10,276.06,7045034,276.74,278.38,272.8925
TSLA,Tesla Inc,2019-04-11,268.42,9781294,268.3,270.5,265.6
TSLA,Tesla Inc,2019-04-12,267.7,6735386,270.22,271.95,266.83
TSLA,Tesla Inc,2019-04-13,267.7,6735386,270.22,271.95,266.83
TSLA,Tesla Inc,2019-04-14,267.7,6735386,270.22,271.95,266.83
TSLA,Tesla Inc,2019-04-15,266.38,10032490,268.63,268.88,258.63
TSLA,Tesla Inc,2019-04-16,273.36,7266504,265.75,275.0,264.72
TSLA,Tesla Inc,2019-04-17,271.23,5118011,274.75,274.79,268.535
TSLA,Tesla Inc,2019-04-18,273.26,5861478,271.23,274.84,269.75
TSLA,Tesla Inc,2019-04-19,273.26,5861478,271.23,274.84,269.75
TSLA,Tesla Inc,2019-04-20,273.26,5861478,271.23,274.84,269.75
TSLA,Tesla Inc,2019-04-21,273.26,5861478,271.23,274.84,269.75
TSLA,Tesla Inc,2019-04-22,262.75,12101690,269.0,269.68,262.48
TSLA,Tesla Inc,2019-04-23,263.9,10909350,260.15,265.6,255.75
TSLA,Tesla Inc,2019-04-24,258.66,9657061,263.85,265.32,258.0
TSLA,Tesla Inc,2019-04-25,247.63,21823380,255.0,259.0,246.07
TSLA,Tesla Inc,2019-04-26,235.14,22151160,246.5,246.68,231.13
TSLA,Tesla Inc,2019-04-27,235.14,22151160,246.5,246.68,231.13
TSLA,Tesla Inc,2019-04-28,235.14,22151160,246.5,246.68,231.13
TSLA,Tesla Inc,2019-04-29,241.47,16686620,235.86,243.98,232.17
TSLA,Tesla Inc,2019-04-30,238.69,9446965,242.06,244.21,237.0
TSLA,Tesla Inc,2019-05-01,234.01,10704350,238.85,240.0,231.5
TSLA,Tesla Inc,2019-05-02,244.1,18159340,245.52,247.13,237.72
TSLA,Tesla Inc,2019-05-03,255.03,23706770,243.86,256.61,243.49
TSLA,Tesla Inc,2019-05-04,255.03,23706770,243.86,256.61,243.49
TSLA,Tesla Inc,2019-05-05,255.03,23706770,243.86,256.61,243.49
TSLA,Tesla Inc,2019-05-06,255.34,10833940,250.02,258.3499,248.5
TSLA,Tesla Inc,2019-05-07,247.06,10131410,256.8,257.21,245.1
TSLA,Tesla Inc,2019-05-08,244.84,6176440,246.94,250.599,244.2
TSLA,Tesla Inc,2019-05-09,241.98,6711382,242.0,243.68,236.9434
TSLA,Tesla Inc,2019-05-10,239.52,7008336,239.75,241.99,236.02
TSLA,Tesla Inc,2019-05-11,239.52,7008336,239.75,241.99,236.02
TSLA,Tesla Inc,2019-05-12,239.52,7008336,239.75,241.99,236.02
TSLA,Tesla Inc,2019-05-13,227.01,10834800,232.01,232.47,224.5
TSLA,Tesla Inc,2019-05-14,232.31,7252412,229.3,234.5,228.0
TSLA,Tesla Inc,2019-05-15,231.95,7295976,229.32,232.44,225.25
TSLA,Tesla Inc,2019-05-16,228.33,7483273,229.49,231.0,226.5
TSLA,Tesla Inc,2019-05-17,211.03,17786670,221.96,222.24,208.92
TSLA,Tesla Inc,2019-05-18,211.03,17786670,221.96,222.24,208.92
TSLA,Tesla Inc,2019-05-19,211.03,17786670,221.96,222.24,208.92
TSLA,Tesla Inc,2019-05-20,205.36,20526200,202.8,206.0,195.25
TSLA,Tesla Inc,2019-05-21,205.08,18003900,197.76,207.4,196.04
TSLA,Tesla Inc,2019-05-22,192.73,18685190,199.1,203.94,191.78
TSLA,Tesla Inc,2019-05-23,195.49,26547140,194.34,199.465,186.22
TSLA,Tesla Inc,2019-05-24,190.63,14136570,199.83,199.98,188.7505
TSLA,Tesla Inc,2019-05-25,190.63,14136570,199.83,199.98,188.7505
TSLA,Tesla Inc,2019-05-26,190.63,14136570,199.83,199.98,188.7505
TSLA,Tesla Inc,2019-05-27,190.63,14136570,199.83,199.98,188.7505
TSLA,Tesla Inc,2019-05-28,188.7,10312900,191.2,195.0,187.85
TSLA,Tesla Inc,2019-05-29,189.86,11968640,187.1,192.39,185.0401
TSLA,Tesla Inc,2019-05-30,188.22,7926475,188.75,192.255,187.02
TSLA,Tesla Inc,2019-05-31,185.16,10406730,185.1,189.9204,184.1
TSLA,Tesla Inc,2019-06-01,185.16,10406730,185.1,189.9204,184.1
TSLA,Tesla Inc,2019-06-02,185.16,10406730,185.1,189.9204,184.1
TSLA,Tesla Inc,2019-06-03,178.97,13064410,185.51,186.68,176.9919
TSLA,Tesla Inc,2019-06-04,193.6,13807520,181.1,193.98,179.61
TSLA,Tesla Inc,2019-06-05,196.59,13510760,198.68,201.2782,191.8486
TSLA,Tesla Inc,2019-06-06,205.95,20242150,204.44,211.0,201.8
TSLA,Tesla Inc,2019-06-07,204.5,16003530,205.0,210.8438,203.499
TSLA,Tesla Inc,2019-06-08,204.5,16003530,205.0,210.8438,203.499
TSLA,Tesla Inc,2019-06-09,204.5,16003530,205.0,210.8438,203.499
TSLA,Tesla Inc,2019-06-10,212.88,10585040,210.25,216.94,209.01
TSLA,Tesla Inc,2019-06-11,217.1,11653540,219.144,220.9,213.5
TSLA,Tesla Inc,2019-06-12,209.26,15197540,222.95,223.38,209.0
TSLA,Tesla Inc,2019-06-13,213.91,8168260,210.38,214.9,207.5103
TSLA,Tesla Inc,2019-06-14,214.92,7433402,211.25,216.65,210.4
TSLA,Tesla Inc,2019-06-15,214.92,7433402,211.25,216.65,210.4
TSLA,Tesla Inc,2019-06-16,214.92,7433402,211.25,216.65,210.4
