ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value,month_day,Unnamed: 0,date,text,news_sentiment
TSLA,Tesla Inc,2019-02-15,307.88,3895815,304.5,308.0,303.9,02-15,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-16,307.88,3895815,304.5,308.0,303.9,02-16,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-17,307.88,3895815,304.5,308.0,303.9,02-17,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-18,307.88,3895815,304.5,308.0,303.9,02-18,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-19,305.64,4120520,306.56,311.5442,305.47,02-19,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-20,302.56,7132969,304.41,306.3,299.0,02-20,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-21,291.23,8880830,301.81,303.2399,290.5,02-21,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-22,294.71,5731380,294.49,296.5,292.1,02-22,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-23,294.71,5731380,294.49,296.5,292.1,02-23,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-24,294.71,5731380,294.49,296.5,292.1,02-24,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-25,298.77,6213701,297.91,302.9044,297.0005,02-25,1254.0,2020-02-25 00:00:00,national transportation safety board called improvement electriccar company’s driverassistance feature cited failure agency tesla autopilot system found probably fault crash,-1.0
TSLA,Tesla Inc,2019-02-26,297.86,8571609,292.22,302.01,288.7701,02-26,1261.0,2020-02-26 00:00:00,fed’s vice chair warned disruption “could spill rest global economy” another rocky day market coronavirus spread,0.0
TSLA,Tesla Inc,2019-02-27,314.74,11144100,301.78,316.295,300.55,02-27,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-28,319.88,9666224,318.92,320.0,310.81,02-28,0.0,0,0,0.0
